Name,IP,BON name,From,Until,GPS state,Latitude,Longitude
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 19:49:24,18-01-2020 19:49:24,FIX,52.364088467,4.6441528
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 19:54:24,18-01-2020 19:54:24,FIX,52.364088267,4.6441535
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 19:59:24,18-01-2020 19:59:24,FIX,52.36408775,4.644153433
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:04:24,18-01-2020 20:04:24,FIX,52.364087667,4.644153333
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:09:24,18-01-2020 20:09:24,FIX,52.3640877,4.644153533
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:14:24,18-01-2020 20:14:24,FIX,52.364087467,4.6441529
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:19:24,18-01-2020 20:19:24,FIX,52.364087217,4.644153183
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:24:24,18-01-2020 20:24:24,FIX,52.364087067,4.644152933
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:29:24,18-01-2020 20:29:24,FIX,52.364086467,4.6441525
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:34:24,18-01-2020 20:34:24,FIX,52.364086067,4.64415235
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:39:24,18-01-2020 20:39:24,FIX,52.364086283,4.64415275
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:44:24,18-01-2020 20:44:24,FIX,52.364086583,4.644151767
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:49:24,18-01-2020 20:49:24,FIX,52.364087183,4.644150767
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:54:24,18-01-2020 20:54:24,FIX,52.36409365,4.644196167
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 20:59:24,18-01-2020 20:59:24,FIX,52.364089517,4.644188083
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 21:04:24,18-01-2020 21:04:24,FIX,52.3640894,4.644182967
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 21:09:24,18-01-2020 21:09:24,FIX,52.3640887,4.644178083
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 21:14:24,18-01-2020 21:14:24,FIX,52.364086267,4.644176383
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 21:19:24,18-01-2020 21:19:24,FIX,52.364085217,4.64417475
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 21:24:24,18-01-2020 21:24:24,FIX,52.364084417,4.644173983
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 21:29:24,18-01-2020 21:29:24,FIX,52.364083567,4.64417225
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 21:34:24,18-01-2020 21:34:24,FIX,52.3640828,4.644170983
BW-3002,172.25.0.49,BON-NL-5,18-01-2020 21:39:24,18-01-2020 21:39:24,FIX,52.364082433,4.644170217
