Name,IP,BON name,From,Until,GPS state,Latitude,Longitude
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 16:19:55,20-01-2020 16:19:55,FIX,52.2480816,6.890007417
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 16:24:55,20-01-2020 16:24:55,FIX,52.248081983,6.890007383
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 16:29:55,20-01-2020 16:29:55,FIX,52.248082533,6.890007583
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 16:34:55,20-01-2020 16:34:55,FIX,52.248082383,6.890007533
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 16:39:55,20-01-2020 16:39:55,FIX,52.2480829,6.890007583
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 16:44:55,20-01-2020 16:44:55,FIX,52.24808335,6.890007733
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 16:49:55,20-01-2020 16:49:55,FIX,52.248083933,6.890007333
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 16:54:55,20-01-2020 16:54:55,FIX,52.248084567,6.890006967
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 16:59:55,20-01-2020 16:59:55,FIX,52.24808485,6.890006883
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:04:55,20-01-2020 17:04:55,FIX,52.24808515,6.890006867
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:09:55,20-01-2020 17:09:55,FIX,52.248085233,6.8900071
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:14:55,20-01-2020 17:14:55,FIX,52.24808525,6.890006717
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:19:55,20-01-2020 17:19:55,FIX,52.248085317,6.890006683
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:24:55,20-01-2020 17:24:55,FIX,52.248085533,6.890006883
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:29:55,20-01-2020 17:29:55,FIX,52.248085767,6.890006767
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:34:55,20-01-2020 17:34:55,FIX,52.248086333,6.890007117
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:39:55,20-01-2020 17:39:55,FIX,52.248086483,6.890007017
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:44:55,20-01-2020 17:44:55,FIX,52.248086267,6.890006467
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:49:55,20-01-2020 17:49:55,FIX,52.248086483,6.890006133
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:54:55,20-01-2020 17:54:55,FIX,52.248086617,6.890006117
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 17:59:55,20-01-2020 17:59:55,FIX,52.24808625,6.890005883
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 18:04:55,20-01-2020 18:04:55,FIX,52.2480859,6.890005117
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 18:09:55,20-01-2020 18:09:55,FIX,52.248085783,6.890004867
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 18:14:55,20-01-2020 18:14:55,FIX,52.248085467,6.89000455
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 18:19:55,20-01-2020 18:19:55,FIX,52.2480856,6.890004133
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 18:24:55,20-01-2020 18:24:55,FIX,52.248085583,6.890003667
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 18:29:55,20-01-2020 18:29:55,FIX,52.24808575,6.890003383
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 18:34:55,20-01-2020 18:34:55,FIX,52.24808565,6.890003233
BW-3460,172.25.28.209,BON-NL-5,20-01-2020 18:39:55,20-01-2020 18:39:55,FIX,52.248086067,6.890002683
