Name,IP,BON name,From,Until,GPS state,Latitude,Longitude
BW4493,172.25.94.225,BON-NL-7,02-03-2020 05:58:32,02-03-2020 05:58:32,FIX,53.008580533,6.590692767
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:03:32,02-03-2020 06:03:32,FIX,53.008572617,6.59068805
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:08:32,02-03-2020 06:08:32,FIX,53.008571533,6.590687117
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:13:32,02-03-2020 06:13:32,FIX,53.008568283,6.590665917
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:18:32,02-03-2020 06:18:32,FIX,53.00856575,6.5906645
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:23:32,02-03-2020 06:23:32,FIX,53.0085661,6.590668317
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:28:32,02-03-2020 06:28:32,FIX,53.008565617,6.590667533
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:33:32,02-03-2020 06:33:32,FIX,53.0085592,6.590675967
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:38:32,02-03-2020 06:38:32,FIX,53.008559383,6.59067285
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:43:32,02-03-2020 06:43:32,FIX,53.008557583,6.590672033
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:48:32,02-03-2020 06:48:32,FIX,53.008556133,6.590670133
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:53:32,02-03-2020 06:53:32,FIX,53.008556383,6.590670217
BW4493,172.25.94.225,BON-NL-7,02-03-2020 06:58:32,02-03-2020 06:58:32,FIX,53.008555833,6.590670117
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:03:32,02-03-2020 07:03:32,FIX,53.0085801,6.590670683
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:08:32,02-03-2020 07:08:32,FIX,53.0085773,6.590668783
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:13:32,02-03-2020 07:13:32,FIX,53.00854635,6.590658183
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:18:32,02-03-2020 07:18:32,FIX,53.0085446,6.59066065
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:23:32,02-03-2020 07:23:32,FIX,53.008540967,6.5906645
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:28:32,02-03-2020 07:28:32,FIX,53.008540883,6.59066495
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:33:32,02-03-2020 07:33:32,FIX,53.008534683,6.590654867
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:38:32,02-03-2020 07:38:32,FIX,53.008535883,6.590653617
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:43:32,02-03-2020 07:43:32,FIX,53.008511217,6.590685917
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:48:32,02-03-2020 07:48:32,FIX,53.00851545,6.590686517
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:53:32,02-03-2020 07:53:32,FIX,53.0085168,6.5907006
BW4493,172.25.94.225,BON-NL-7,02-03-2020 07:58:32,02-03-2020 07:58:32,FIX,53.00851715,6.590691933
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:03:32,02-03-2020 08:03:32,FIX,53.00853105,6.590668733
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:08:32,02-03-2020 08:08:32,FIX,53.0085332,6.590668617
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:13:32,02-03-2020 08:13:32,FIX,53.00853175,6.590669833
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:18:32,02-03-2020 08:18:32,FIX,53.008532367,6.59066915
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:23:32,02-03-2020 08:23:32,FIX,53.008533217,6.590670583
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:28:32,02-03-2020 08:28:32,FIX,53.008534783,6.590671617
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:33:32,02-03-2020 08:33:32,FIX,53.0085388,6.5906455
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:38:32,02-03-2020 08:38:32,FIX,53.0085433,6.590647917
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:43:32,02-03-2020 08:43:32,FIX,53.008562433,6.590700917
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:48:32,02-03-2020 08:48:32,FIX,53.008563317,6.590698683
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:53:32,02-03-2020 08:53:32,FIX,53.00856395,6.590695517
BW4493,172.25.94.225,BON-NL-7,02-03-2020 08:58:32,02-03-2020 08:58:32,FIX,53.008563517,6.5906948
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:03:32,02-03-2020 09:03:32,FIX,53.008564517,6.5906924
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:08:32,02-03-2020 09:08:32,FIX,53.0085635,6.5906915
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:13:32,02-03-2020 09:13:32,FIX,53.008562917,6.590690533
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:18:32,02-03-2020 09:18:32,FIX,53.008562,6.590688717
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:23:32,02-03-2020 09:23:32,FIX,53.00856115,6.590688833
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:28:32,02-03-2020 09:28:32,FIX,53.00856245,6.59068905
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:33:32,02-03-2020 09:33:32,FIX,53.008549317,6.590630117
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:38:32,02-03-2020 09:38:32,FIX,53.0085527,6.590632667
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:43:32,02-03-2020 09:43:32,FIX,53.008551317,6.590636933
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:48:32,02-03-2020 09:48:32,FIX,53.008544517,6.590653533
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:53:32,02-03-2020 09:53:32,FIX,53.008549183,6.59065835
BW4493,172.25.94.225,BON-NL-7,02-03-2020 09:58:32,02-03-2020 09:58:32,FIX,53.00855105,6.59066925
