label,sum_1,sum_2,sum_3,sum_4
0,109,72,97,91
0,107,65,73,82
0,96,70,74,89
0,100,91,96,87
0,86,66,85,92
0,91,80,63,81
0,75,77,69,79
0,77,72,81,71
0,84,52,61,81
0,72,57,77,79
0,101,54,82,66
0,67,65,68,63
0,102,57,66,119
0,76,85,91,106
0,100,60,74,93
0,120,67,106,86
0,82,69,69,83
0,114,81,97,82
0,94,70,69,92
0,77,75,84,87
0,79,69,62,54
0,79,70,64,52
0,84,62,73,92
0,70,82,78,77
0,85,66,70,69
0,95,87,80,106
0,94,69,81,87
0,111,110,92,82
0,86,70,79,65
0,61,62,86,85
0,86,72,70,68
0,109,82,104,75
0,73,63,64,66
0,87,50,82,72
0,75,81,73,75
0,81,98,82,83
0,124,81,94,76
0,90,61,78,82
0,94,56,70,91
0,102,64,79,87
0,89,68,84,105
0,85,83,82,79
0,105,70,75,95
0,80,80,86,70
0,74,78,86,74
0,71,74,56,67
0,93,77,85,85
0,95,72,89,85
0,94,63,84,65
0,91,66,84,82
0,99,86,91,91
0,75,67,96,77
0,88,75,75,71
0,101,67,57,68
0,88,56,73,73
0,83,72,75,86
0,115,77,82,110
0,94,61,84,84
0,79,68,71,69
0,104,70,101,87
0,64,56,82,92
0,71,55,69,83
0,65,95,103,92
0,117,90,86,95
0,74,74,63,91
0,71,66,72,71
0,101,58,87,69
0,110,74,86,81
0,80,76,81,85
0,89,106,84,84
0,94,54,56,73
0,108,87,65,70
0,104,93,90,71
0,100,72,95,98
0,109,78,94,82
0,79,48,64,83
0,107,89,90,69
0,78,60,77,67
0,89,96,87,66
0,78,79,112,117
0,101,65,73,85
0,71,72,66,71
0,80,51,69,70
0,84,67,78,82
0,75,56,82,73
0,100,69,94,95
0,84,58,82,66
0,79,65,77,81
0,46,84,72,96
0,104,74,86,82
0,81,84,85,92
0,72,59,103,96
0,83,51,75,63
0,107,91,90,97
0,77,91,82,69
0,66,72,65,73
0,88,78,70,94
0,83,56,79,74
0,89,79,78,80
0,92,77,85,83
0,73,86,70,60
0,81,69,79,82
0,95,91,80,92
0,94,87,86,76
0,76,71,60,74
0,100,86,90,86
0,79,95,78,78
0,84,84,101,94
0,88,71,80,60
0,80,71,71,74
0,105,84,87,84
0,91,71,87,81
0,80,60,73,73
0,107,66,93,88
0,97,78,91,102
0,108,76,90,78
0,91,69,83,79
0,70,56,71,72
0,72,58,64,72
0,119,73,83,101
0,102,81,104,81
0,77,54,64,65
0,77,99,89,75
0,64,82,72,85
0,65,70,60,84
0,92,69,85,89
0,63,67,56,73
0,70,59,64,76
0,83,91,89,72
0,83,76,87,78
0,102,80,84,74
0,96,94,77,70
0,75,97,69,71
0,94,89,105,89
0,108,56,72,88
0,89,95,87,99
0,87,70,70,80
0,113,87,94,78
0,95,72,84,83
0,58,86,70,106
0,91,73,82,78
0,75,55,61,69
0,106,87,74,77
