label,sum_1,sum_2,sum_3,sum_4,sum_5,sum_6,sum_7,sum_8,sum_9,sum_10,sum_11,sum_12,sum_13,sum_14,sum_15,sum_16
0,0,39,27,0,3,33,20,9,14,24,12,16,3,41,41,4
0,1,40,32,0,8,34,21,8,9,25,9,17,0,43,41,8
0,0,49,32,0,4,31,15,11,16,16,25,12,2,48,29,0
0,0,47,56,11,2,42,17,21,3,49,33,6,0,42,38,0
0,0,48,40,0,7,25,25,11,6,31,12,16,0,44,53,4
0,1,58,25,0,7,58,54,2,8,32,21,11,5,49,44,0
0,0,47,9,0,3,58,41,6,4,32,9,24,0,36,46,9
0,0,38,29,0,7,35,14,8,8,22,10,16,0,39,41,3
0,0,44,34,0,6,33,28,6,11,21,26,17,3,28,54,7
0,0,51,40,0,2,41,39,8,3,39,42,7,0,44,27,0
0,3,43,33,0,17,28,30,8,14,27,25,11,0,46,44,1
0,0,38,20,2,5,22,37,11,9,16,16,20,1,34,39,9
0,1,44,6,0,10,24,47,12,15,17,8,17,0,45,49,7
0,0,40,37,0,4,43,23,8,5,44,22,16,0,38,52,5
0,9,52,36,0,15,43,32,5,9,34,20,19,0,40,53,9
0,0,47,26,0,5,42,33,10,8,28,29,10,0,45,42,6
0,7,50,27,0,24,28,31,14,19,28,21,24,0,50,43,3
0,1,45,54,1,11,22,29,11,9,24,16,16,0,45,42,4
0,0,36,12,0,10,18,39,5,3,29,25,21,0,50,42,4
0,1,40,47,7,3,33,26,19,11,26,31,10,2,50,34,0
0,3,51,27,0,15,25,36,7,8,24,20,19,0,37,47,6
0,0,41,39,0,9,23,17,7,9,17,20,7,0,38,39,0
0,0,49,34,2,11,34,12,15,14,18,25,12,4,48,28,0
0,0,39,39,0,0,50,27,10,8,33,16,19,2,43,46,6
0,0,47,48,2,10,37,27,12,12,41,37,12,0,52,40,0
0,1,44,35,0,12,27,22,10,13,27,15,16,0,38,47,4
0,0,42,60,6,8,39,24,16,5,32,22,16,0,47,46,0
0,0,42,35,0,6,32,25,11,10,22,29,5,0,39,40,0
0,0,31,39,0,6,29,25,8,3,29,14,16,0,33,42,1
0,0,51,33,1,8,29,32,5,7,28,33,0,1,44,27,0
0,7,47,46,0,18,19,23,11,8,20,21,13,0,35,46,1
0,0,49,35,1,9,44,29,15,8,18,38,8,2,56,28,0
0,0,30,42,0,3,30,13,12,7,18,8,16,0,31,37,12
0,5,51,49,1,15,46,29,11,12,29,23,15,2,43,52,5
0,0,43,32,0,5,30,22,6,5,29,28,4,0,43,35,0
0,0,40,28,0,11,29,27,5,9,29,17,15,0,35,40,1
0,0,46,35,0,7,26,11,13,9,26,31,11,0,55,30,0
0,0,39,27,0,4,29,30,2,15,26,25,14,5,57,55,2
0,0,49,38,0,4,43,26,6,2,36,17,17,0,36,51,4
0,7,48,27,0,14,32,24,7,11,28,35,6,0,48,28,0
0,3,50,33,0,16,26,26,13,15,25,8,24,2,47,44,9
0,2,48,53,3,15,33,22,16,15,23,26,13,2,51,37,1
0,2,46,50,0,15,15,18,11,7,23,11,15,0,41,55,2
0,3,53,47,0,11,9,22,16,7,38,27,16,0,46,58,5
0,0,28,44,2,9,28,36,13,10,37,31,15,3,53,45,1
0,0,34,44,3,4,26,28,7,3,32,25,13,0,37,45,2
0,0,46,50,8,9,28,17,16,16,24,23,13,3,46,36,0
0,0,43,40,8,4,32,5,16,8,16,17,7,1,37,30,0
0,0,51,32,0,1,48,34,3,6,36,33,10,1,51,50,2
0,0,39,43,3,9,26,20,12,9,27,28,10,0,50,36,0
0,0,47,16,0,8,47,39,2,2,28,14,24,0,36,58,23
0,0,38,26,0,4,37,16,6,5,25,6,18,0,34,46,13
0,0,43,34,0,6,34,31,11,10,35,23,15,0,42,44,1
0,5,53,34,0,16,36,30,10,12,24,24,10,0,50,44,3
0,0,39,44,0,6,31,27,10,10,18,25,13,1,35,49,1
0,0,16,43,0,2,40,36,7,1,52,55,5,0,17,46,0
0,0,39,26,0,6,36,32,11,10,28,17,15,1,40,47,3
0,3,44,59,2,8,34,24,11,8,35,32,3,0,44,31,0
0,2,46,29,0,15,38,29,7,6,30,15,18,0,37,47,5
0,1,48,38,0,8,50,14,13,10,20,12,16,0,43,49,5
0,1,48,32,0,12,31,28,9,10,28,25,18,1,46,43,3
0,2,54,42,0,11,30,29,7,7,34,41,16,0,50,43,2
0,0,48,44,0,15,39,21,10,12,37,21,18,0,48,57,6
0,2,47,39,0,6,37,35,3,6,37,24,11,0,42,48,0
0,3,52,48,2,16,34,20,14,5,37,13,15,0,45,53,3
0,0,32,35,0,14,36,28,6,4,38,16,16,0,27,49,2
0,0,53,24,0,8,46,54,13,12,25,25,16,2,51,51,5
0,0,51,34,0,7,43,23,10,7,16,18,13,0,34,37,0
0,3,50,28,0,11,40,36,10,8,28,16,16,1,49,44,6
0,1,35,40,5,15,19,22,15,16,15,34,8,1,46,35,0
0,0,54,46,0,2,30,16,10,6,24,28,6,1,39,34,0
0,2,34,35,0,15,43,13,6,4,22,14,16,0,30,43,0
0,1,49,47,1,13,36,19,19,21,22,10,25,1,47,44,12
0,7,54,40,2,20,43,13,21,16,27,20,19,2,50,42,1
0,0,38,22,0,0,33,28,5,1,32,33,9,0,36,41,0
0,0,39,43,0,9,35,23,10,13,28,16,16,1,45,43,3
0,2,39,44,0,13,19,30,12,10,18,14,13,1,41,33,0
0,1,55,23,0,7,37,33,4,5,24,17,17,1,44,53,6
0,0,35,27,0,0,26,29,6,7,29,38,8,1,49,39,0
0,3,53,26,0,10,29,32,3,16,17,24,16,1,46,46,3
0,0,38,37,0,1,39,33,9,10,60,40,19,0,42,54,4
0,0,41,20,0,3,45,39,9,7,29,21,21,1,47,53,10
0,0,33,43,2,4,34,17,10,11,22,7,19,0,33,36,9
0,11,46,31,0,15,24,18,6,8,27,22,11,0,34,42,0
0,2,47,29,0,13,32,31,1,13,22,17,9,1,48,55,3
0,0,49,53,10,9,46,13,17,10,24,30,14,5,51,27,0
0,0,52,35,0,9,23,38,11,15,31,22,16,2,53,51,5
